year month day hour minute second milli f10.7 f10.7a bx by bz sw_vx sw_vy sw_vz n protontemperature,k ae al au min_temp max_temp mean_temp O2_min O2_max O2_mean O2+_min O2+_max O2+_mean specific_temp
2011 3 20 0 4 20 0 88.46 112.5 2.873 -2.917 -1.657 -337.2 -9.367 -20.8 6.427 3.697e+04 28 -12 16 200 660.1 800.8 2.21e+11 1.265e+17 4e+18 1.385e-05 1.568e+10 3.484e+11 800
2011 3 20 0 4 30 0 88.46 112.5 2.89 -2.885 -1.675 -337.1 -8.9 -20.95 6.47 3.725e+04 28 -12 16 200 660 800.8 2.209e+11 1.265e+17 4e+18 1.155e-05 1.549e+10 3.775e+11 800
2011 3 20 0 4 40 0 88.46 112.5 2.907 -2.853 -1.693 -337 -8.433 -21.1 6.513 3.753e+04 28 -12 16 200 660 800.9 2.207e+11 1.265e+17 4e+18 1.101e-05 1.55e+10 4.373e+11 800
2011 3 20 0 4 50 0 88.46 112.5 2.923 -2.822 -1.712 -336.9 -7.967 -21.25 6.557 3.781e+04 28 -12 16 200 660 800.9 2.205e+11 1.265e+17 4e+18 1.079e-05 1.561e+10 5.034e+11 800
2011 3 20 0 5 0 0 88.46 112.5 2.94 -2.79 -1.73 -336.8 -7.5 -21.4 6.6 3.809e+04 28 -12 16 200 659.9 800.9 2.204e+11 1.265e+17 4e+18 1.064e-05 1.576e+10 5.675e+11 800
2011 3 20 0 5 10 0 88.46 112.5 2.935 -2.807 -1.722 -336.8 -7.6 -21.55 6.563 3.78e+04 28.83 -12.67 16.17 200 659.9 800.9 2.202e+11 1.265e+17 4e+18 1.051e-05 1.502e+10 4.184e+11 800
2011 3 20 0 5 20 0 88.46 112.5 2.93 -2.823 -1.713 -336.7 -7.7 -21.7 6.527 3.751e+04 29.67 -13.33 16.33 200 659.8 800.9 2.201e+11 1.265e+17 4e+18 1.039e-05 1.45e+10 3.484e+11 800
2011 3 20 0 5 30 0 88.46 112.5 2.925 -2.84 -1.705 -336.6 -7.8 -21.85 6.49 3.721e+04 30.5 -14 16.5 200 659.8 801 2.199e+11 1.265e+17 4e+18 1.027e-05 1.438e+10 3.775e+11 800
2011 3 20 0 5 40 0 88.46 112.5 2.92 -2.857 -1.697 -336.6 -7.9 -22 6.453 3.692e+04 31.33 -14.67 16.67 200 659.8 801 2.198e+11 1.265e+17 4e+18 1.016e-05 1.446e+10 4.373e+11 800
2011 3 20 0 5 50 0 88.46 112.5 2.915 -2.873 -1.688 -336.5 -8 -22.15 6.417 3.663e+04 32.17 -15.33 16.83 200 659.7 801 2.196e+11 1.265e+17 4e+18 1.005e-05 1.462e+10 5.034e+11 800
