 O2,O2,abs,1.0000E-22,m2, 4.0000E-04, 4.0000E-03, 2.4000E-02, 1.4000E-01, 1.0200E+00, 1.0000E-01, 3.2000E-01, 1.1800E+00, 4.0000E+00, 7.1000E+00, 1.0600E+01, 1.3200E+01, 1.5700E+01, 1.5100E+01, 1.6800E+01, 1.6800E+01, 1.7190E+01, 1.8400E+01, 1.8170E+01, 1.9390E+01, 2.0400E+01, 2.1590E+01, 2.4060E+01, 2.5590E+01, 2.2000E+01, 2.5040E+01, 2.6100E+01, 2.5800E+01, 2.6020E+01, 2.6270E+01, 2.5000E+01, 2.9050E+01, 2.1960E+01, 2.5180E+01, 2.6660E+01, 2.7090E+01, 2.0870E+01, 9.8500E+00, 1.5540E+01, 4.0000E+00, 1.6530E+01, 1.6000E+00, 1.0000E+00, 1.1000E+00, 1.0000E+00, 1.0000E-01, 3.0000E-01, 1.0000E-02, 3.0000E+00, 3.0000E-01, 2.2000E+00, 1.2000E+01, 1.5000E+01, 1.3000E+01, 1.0000E+01, 6.0000E+00, 3.4000E+00, 1.5000E+00, 5.0000E-01, from GITM
 O,O,abs,1.0000E-22,m2, 2.0000E-04, 2.0000E-03, 1.2000E-02, 7.0000E-02, 5.1000E-01, 5.0000E-02, 1.6000E-01, 5.9000E-01, 1.6000E+00, 2.9000E+00, 5.3000E+00, 6.0500E+00, 7.1300E+00, 6.6100E+00, 7.6800E+00, 7.7000E+00, 8.6700E+00, 9.9500E+00, 9.6400E+00, 1.1210E+01, 1.1250E+01, 1.1640E+01, 1.1910E+01, 1.2130E+01, 1.2170E+01, 1.1900E+01, 1.2230E+01, 1.2220E+01, 1.2210E+01, 1.0040E+01, 1.1350E+01, 8.0000E+00, 4.1800E+00, 4.1800E+00, 4.2800E+00, 4.2300E+00, 4.3800E+00, 4.1800E+00, 2.1200E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, from GITM
 N2,N2,abs,1.0000E-22,m2, 3.0000E-04, 3.0000E-03, 1.5000E-02, 9.0000E-02, 4.8000E-01, 1.1600E+00, 2.4000E-01, 6.0000E-01, 1.9000E+00, 4.4000E+00, 8.0000E+00, 9.7000E+00, 1.0600E+01, 1.0300E+01, 1.1600E+01, 1.1600E+01, 1.3000E+01, 1.8000E+01, 1.7510E+01, 2.1070E+01, 2.1800E+01, 2.1850E+01, 2.4530E+01, 2.4690E+01, 2.3200E+01, 2.2380E+01, 2.3100E+01, 2.3200E+01, 2.3220E+01, 2.9750E+01, 2.6300E+01, 3.0940E+01, 3.5460E+01, 2.6880E+01, 1.9260E+01, 3.0710E+01, 1.5050E+01, 4.6630E+01, 1.6990E+01, 7.0000E-01, 3.6160E+01, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, from GITM
 CO2,CO2,abs,1.0000E-22,m2, 3.5800E-03, 3.5800E-03, 3.5800E-03, 3.5800E-01, 3.5800E-01, 3.5800E-01, 3.5800E-01, 1.5500E+00, 4.6200E+00, 9.0900E+00, 1.4360E+01, 1.6510E+01, 1.9020E+01, 1.7520E+01, 2.1490E+01, 2.1590E+01, 2.3570E+01, 2.5270E+01, 2.4870E+01, 2.8270E+01, 2.9530E+01, 3.0250E+01, 3.1490E+01, 3.3200E+01, 3.4200E+01, 3.4910E+01, 3.5300E+01, 3.4300E+01, 3.4450E+01, 3.3700E+01, 2.3520E+01, 3.2830E+01, 9.3840E+01, 6.1940E+01, 2.6490E+01, 3.9830E+01, 1.3980E+01, 4.4670E+01, 5.2080E+01, 4.2870E+01, 5.0310E+01, 1.5100E+01, 1.4200E+01, 1.8240E+01, 1.7400E+01, 4.0800E+01, 8.8200E-01, 4.9600E-02, 8.1000E-02, 3.7300E-01, 7.3900E-01, 6.0700E-01, 5.2400E-01, 5.4400E-01, 4.3100E-01, 2.5800E-01, 1.2600E-01, 4.8000E-02, 1.6000E-02, from GITM
 CO,CO,abs,1.0000E-22,m2, 4.1700E-03, 4.1700E-03, 4.1700E-03, 4.1700E-01, 4.1700E-01, 4.1700E-01, 4.1700E-01, 8.7000E-01, 2.3900E+00, 4.6700E+00, 7.0100E+00, 8.6100E+00, 1.0540E+01, 9.4200E+00, 1.1870E+01, 1.1900E+01, 1.3440E+01, 1.5260E+01, 1.4960E+01, 1.7960E+01, 2.0170E+01, 2.0570E+01, 2.1090E+01, 2.1620E+01, 2.2000E+01, 2.1910E+01, 2.2100E+01, 2.2030E+01, 2.1920E+01, 2.1040E+01, 2.3850E+01, 2.5200E+01, 2.6280E+01, 1.5260E+01, 3.3130E+01, 2.0540E+01, 2.2610E+01, 3.6980E+01, 5.0320E+01, 2.8500E+01, 5.2830E+01, 1.3900E+00, 1.3900E+00, 8.5700E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, from GITM
 CH4,CH4,abs,1.0000E-22,m2, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 1.6430E-01, 4.2100E-01, 4.5350E-01, 2.0400E-01, 5.9300E-01, 1.4960E+00, 2.7940E+00, 3.8570E+00, 5.0530E+00, 4.3600E+00, 6.0330E+00, 6.0590E+00, 7.8290E+00, 1.0165E+01, 9.7760E+00, 1.4701E+01, 1.8770E+01, 2.1449E+01, 2.4644E+01, 2.7924E+01, 3.1052E+01, 3.0697E+01, 3.3178E+01, 3.5276E+01, 3.4990E+01, 3.9280E+01, 4.1069E+01, 4.2927E+01, 4.5458E+01, 4.5716E+01, 4.6472E+01, 4.5921E+01, 4.8327E+01, 4.8968E+01, 4.8001E+01, 4.1154E+01, 3.8192E+01, 3.2700E+01, 3.0121E+01, 2.9108E+01, 2.8400E+01, 1.8000E+01, 1.9200E+01, 1.7860E+01, 1.8318E+01, 1.9068E+01, 1.2826E+01, 3.2898E+00, 1.2600E-01, 7.9900E-04, 1.4000E-05, 7.0000E-06, 0.0000E+00, 0.0000E+00, 0.0000E+00, from GITM
 H2,H2,abs,1.0000E-22,m2, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 1.0000E-02, 8.0000E-02, 2.1000E-01, 4.3000E-01, 6.0000E-01, 8.4000E-01, 7.3000E-01, 1.0200E+00, 1.0200E+00, 1.4200E+00, 1.9400E+00, 1.9000E+00, 3.0300E+00, 3.8700E+00, 4.5000E+00, 5.3600E+00, 6.1700E+00, 7.0200E+00, 6.8600E+00, 7.8100E+00, 8.4600E+00, 8.4500E+00, 9.9000E+00, 1.0730E+01, 1.1370E+01, 1.0760E+01, 8.6400E+00, 7.3400E+00, 8.7500E+00, 8.2500E+00, 4.8000E-01, 1.9000E-01, 0.0000E+00, 5.0000E-02, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, from GITM
 HCN,HCN,abs,1.0000E-22,m2, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, from GITM
 He,He,abs,1.0000E-22,m2, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 1.4400E-01, 4.7900E-01, 1.1570E+00, 1.6010E+00, 2.1210E+00, 2.5950E+00, 2.3200E+00, 2.9530E+00, 2.9620E+00, 3.5440E+00, 4.2680E+00, 4.1420E+00, 5.4470E+00, 6.5630E+00, 7.2080E+00, 9.5800E-01, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, from GITM
 NO,NO,abs,1.0000E-22,m2, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 2.4000E+01, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 2.4000E+01, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 1.0000E+01, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 2.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, 0.0000E+00, from GITM
