<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 20110319 to 20110321</B><hr><pre>Selected parameters:
 1 BX, nT (GSE, GSM)
 2 BY, nT (GSM)
 3 BZ, nT (GSM)
 4 Vx Velocity,km/s
 5 Vy Velocity, km/s
 6 Vz Velocity, km/s
 7 Proton Density, n/cc
 8 Temperature, K
 9 AE-index, nT
10 AL-index, nT
11 AU-index, nT

YYYY DOY HR MN      1       2       3       4       5       6      7        8     9    10    11 
2011  78  0 54   -2.86   -0.33    2.74  -341.2    -0.3   -40.4   3.58   23788.    26   -20     6
2011  78  0 55   -3.01    0.13    1.89  -341.2     0.1   -41.4   3.66   25041.    27   -20     7
2011  78  0 56   -2.72   -0.07    2.68  -341.1     0.3   -42.0   3.71   25755.    27   -20     7
2011  78  0 57   -2.98    1.21    1.53  -346.3   -25.8   -13.4   2.96   23527.    30   -20    10
2011  78  0 58   -2.65    2.03    1.73  -346.1   -25.0   -14.9   3.02   24051.    30   -21     9
2011  78  0 59   -2.50    2.71    0.75  -345.5   -14.9   -22.8   3.61   29035.    29   -20     9
2011  78  1  0   -2.84    1.88    1.56  -343.9   -17.2   -11.6   3.12   22974.    27   -20     7
2011  78  1  1   -3.14    1.81    1.18  -340.1   -12.0   -16.8   3.59   27622.    25   -19     6
2011  78  1  2   -3.34    1.18    0.96  -339.9   -12.3   -13.9   3.07   20851.    24   -19     5
2011  78  1  3   -3.43    1.07    0.79  -336.8    -2.8    -4.0   3.01   20235.    24   -19     5
2011  78  1  4   -3.32    1.38    0.93  -339.2   -10.7    -9.2   3.13   21915.    25   -20     5
2011  78  1  5   -2.83    2.16    1.29  -341.6   -11.5   -14.0   3.33   21996.    25   -20     5
2011  78  1  6   -2.85    1.96    1.33  -348.1   -21.3   -21.9   3.51   30388.    28   -21     7
2011  78  1  7   -3.34    0.95    1.01  -345.4   -16.5   -18.9   3.69   32021.    28   -21     7
2011  78  1  8   -3.26    1.63    1.25  -336.8    -5.0   -22.0   3.62   29306.    27   -21     6
2011  78  1  9   -3.45    1.55    0.73  -339.4   -12.8   -11.1   3.01   21197.    26   -21     5
2011  78  1 10   -3.36    1.40    1.07  -339.5   -11.7   -14.1   3.15   22905.    24   -20     4
2011  78  1 11   -3.31    1.10    1.16  -337.6    -6.2   -15.8   3.28   24457.    24   -20     4
2011  78  1 12   -3.05    1.78    1.48  -344.8    -7.4   -38.3   3.59   25273.    25   -20     5
2011  78  1 13   -3.08    1.68    1.23  -344.0   -22.9   -18.1   3.16   23097.    25   -20     5
2011  78  1 14   -3.19    1.41    0.97  -341.4   -11.7    -8.2   3.07   21094.    24   -19     5
2011  78  1 15   -3.46    1.33    0.36  -341.5   -13.3    -9.2   3.05   21069.    24   -19     5
2011  78  1 16   -3.59    1.51   -0.12  -338.3    -2.4     1.5   3.12   20311.    23   -19     4
2011  78  1 17   -3.59    1.58   -0.10  -338.6    -6.2    -4.8   3.19   21316.    24   -19     5
2011  78  1 18   -3.64    1.27    0.15  -338.7    -9.6    -9.9   3.04   19510.    25   -19     6
2011  78  1 19   -3.43    1.07    0.56  -342.7     1.8   -35.3   3.38   22405.    26   -19     7
2011  78  1 20   -3.37    1.12    0.72  -337.0    -2.9   -15.3   3.24   23594.    27   -19     8
2011  78  1 21   -3.04    1.54    1.38  -339.4    -6.3    -7.2   3.20   23104.    29   -19    10
2011  78  1 22   -3.20    1.00    1.07  -345.3   -14.1   -20.0   3.59   27167.    29   -19    10
2011  78  1 23   -3.08    1.04    1.33  -345.6   -22.3    -7.5   3.13   24020.    30   -19    11
2011  78  1 24   -2.92    0.77    1.62  -338.0    -4.5    -0.2   3.17   21348.    29   -18    11
2011  78  1 25   -3.12    1.27    1.14  -339.4   -14.5   -12.8   3.20   23832.    29   -18    11
2011  78  1 26   -3.24    1.58    0.83  -336.3   -10.7   -19.9   3.47   26473.    30   -18    12
2011  78  1 27   -3.34    1.82    0.61  -344.1   -23.1   -10.4   3.61   32698.    29   -18    11
2011  78  1 28   -3.48    1.64    0.72  -336.6   -10.5   -13.8   3.24   24298.    30   -18    12
2011  78  1 29   -3.19    1.86    0.92  -329.7     8.9   -19.1   3.49   26536.    32   -19    13
2011  78  1 30   -3.00    1.76    1.31  -338.4   -13.5    -7.5   2.85   18512.    33   -19    14
2011  78  1 31   -3.12    1.88    0.98  -338.9    -5.5    -3.4   3.12   23495.    32   -19    13
2011  78  1 32   -3.28    1.31    1.10  -345.4   -20.9   -15.0   3.33   28629.    31   -19    12
2011  78  1 33   -3.40    1.53    0.81  -332.4    -1.7   -26.0   3.67   30889.    32   -19    13
2011  78  1 34   -3.53    1.90    0.24  -336.4    -7.7   -15.7   3.40   27208.    32   -19    13
