name,loss1,loss2,loss3,->,source1,source2,source3,rate,temp dependent,Temp range,branching,heat,uncertainty,notes1,notes2,notes3,verification,Numerator,Denominator,Exponent,Piecewise,Min,Max,FormulaType,na,eol
reaction,name,name,name,goes to,name,name,name,mks,na,na,ratio,eV,na,na,na,na,na,K,T,dimensionless,T,K,K,1: (numerator/temp)^exponent,2: temp*exp(numerator/temp),eol
R1,O+,e-,,,O,,,1.00E-15,,,1,0,0.1,,,,,,,,,,,,,eol
